,country,year,ppl_acc,ppl_no_acc,gdp_capita,e_non_ebt,e_ebt,e_co2_em
237,Bulgaria,2002,7837161,0,9647,210.27276594,5.773684211,29031895.504932288
238,Bulgaria,2003,7775327,0,9937,215.19248807,7.971052632,31955410.640650358
239,Bulgaria,2004,7716860,0,10492,208.21213104999998,8.339473684000001,31164499.45373225
240,Bulgaria,2005,7658972,0,11102,222.91432551,11.426315785000002,31431881.82355338
241,Bulgaria,2006,7601022,0,12210,229.21248312,11.205263159,31737044.016879763
242,Bulgaria,2007,7545338,0,13709,225.72174081999998,7.686842105999999,35494660.16819078
243,Bulgaria,2008,7492561,0,14734,222.11714487999998,7.794736842,35844696.149402134
244,Bulgaria,2009,7444443,0,14797,192.26832099,9.784210527000003,31563802.107002947
245,Bulgaria,2010,7395599,0,14971,195.23406413,15.231578950000001,33476490.63716541
246,Bulgaria,2011,7348328,0,15112,213.80577362999998,10.355263158,38469231.83107933
247,Bulgaria,2012,7305888,0,15757,199.40525983999999,14.018421052999999,33663762.246485375
248,Bulgaria,2013,7265115,0,15911,179.53837717,18.22819211,29346886.980634328
249,Bulgaria,2014,7223938,0,16556,191.43069171000002,19.444189471,31170055.28803484
250,Canada,1990,27791000,0,30226,2106.8731569,788.524322165,152625208.5877047
251,Canada,1991,28171682,0,28799,2078.815658,819.1102924349999,152690995.4339457
252,Canada,1992,28519597,0,29585,2129.6751767,841.3176504210002,160476744.3931842
253,Canada,1993,28833410,0,29435,2174.7184709000003,860.768291111,151906081.34087732
254,Canada,1994,29111906,0,30489,2269.3114723999997,878.0253511310001,156421027.68873537
255,Canada,1995,29354000,0,31522,2318.1214148999998,898.053795441,162663554.89410993
256,Canada,1996,29671900,0,31534,2351.6570781,953.1275902110001,163916064.3084677
257,Canada,1997,29987200,0,32622,2393.7700008,939.2547055720001,176994607.90077195
258,Canada,1998,30247900,0,33128,2395.6973989,894.5507479820001,193553243.61658615
259,Canada,1999,30499200,0,35222,2462.7339889,931.8926161859999,197024573.52737963
260,Canada,2000,30769700,0,37446,2530.7665880000004,963.0461608279999,209659144.22615853
261,Canada,2001,31081900,0,36884,2519.1293308000004,898.79409853,215676056.98716652
262,Canada,2002,31362000,0,37037,2583.5698884000003,946.7065271090001,214890762.6901346
263,Canada,2003,31676000,0,37953,2643.8187607,911.2353899330001,223582720.58740777
264,Canada,2004,31995000,0,39211,2684.7370248,918.8477633710002,213747848.8991166
265,Canada,2005,32312000,0,41139,2666.2327378,980.7381024940001,217621127.31784883
266,Canada,2006,32570505,0,41678,2651.2115053,958.672619334,214863505.58688605
267,Canada,2007,32887928,0,42449,2746.5520335,998.9954468870001,230194095.1987887
268,Canada,2008,33245773,0,43642,2715.1718197,1024.346840312,227815203.2093732
269,Canada,2009,33628571,0,39214,2534.4674559,1011.3501303390001,213768316.6495342
270,Canada,2010,34005274,0,40618,2652.9502113,975.192618798,221465587.88766614
271,Canada,2011,34342780,0,42197,2761.4403803000005,1043.938429396,217694035.53182936
272,Canada,2012,34750545,0,41615,2715.0456337,1061.505920753,221566744.7986035
273,Canada,2013,35152370,0,41816,2808.2634816,1111.276975806,223864182.5069243
274,Canada,2014,35535348,0,42833,2879.7539449,1095.541282373,219985512.4921194
275,Chile,1990,12216850,1025282,7605,126.16680661,26.064284206,11877819.677867299
276,Chile,1991,12683659,773585,8009,132.82466811,37.285931583,9131563.632746171
277,Chile,1992,12927337,743696,8925,139.12952006,48.639868425,7783920.930428666
278,Chile,1993,13181219,701449,9285,148.73029782999998,49.914002628,7900750.021100884
279,Chile,1994,13427339,664050,9910,159.5541194,49.398610530000006,10199649.902656687
280,Chile,1995,13670223,626390,11129,171.7881751,53.401944732,11176156.692726374
281,Chile,1996,13862432,635394,11357,190.40227557999998,48.977547371,15443183.838494547
282,Chile,1997,14142451,552384,11459,219.4800069,54.437231575000006,17683051.981556926
283,Chile,1998,14477021,410735,11220,230.64338809999998,44.995407898,21121216.935898796
284,Chile,1999,14592968,483984,10599,248.33948569999998,39.544736844,24504124.84435474
285,Chile,2000,14948141,314613,10903,249.8732476,53.831578943,19785674.56210641
286,Chile,2001,15020714,424255,10750,244.2606244,61.500000001000004,16496373.716088781
287,Chile,2002,15227290,396345,10736,251.07867499999998,65.723684208,18102147.123241283
288,Chile,2003,15607155,192387,11140,251.5071555,63.960526318999996,19401450.1865993
289,Chile,2004,15633615,340163,12119,271.61600235000003,60.540364057000005,23107472.10753504
290,Chile,2005,15838460,308604,13309,273.32571436,72.032894739,23317153.857723147
291,Chile,2006,16216669,103123,15487,291.21990992,78.03434232699999,23974975.41984078
292,Chile,2007,16253605,238082,16392,311.99810488,65.90015554600001,29556528.266992535
293,Chile,2008,16464943,196999,15817,301.55117987999995,72.633599943,30708324.3606603
294,Chile,2009,16761058,68384,15941,292.25993242999994,74.63535931400001,27686545.95469505
295,Chile,2010,16889464,103890,18075,302.5497659,66.299800322,28556873.006987303
296,Chile,2011,17082718,70639,19705,335.9983427,65.265678919,33670390.10660946
297,Chile,2012,17285205,24541,20687,341.7345966,68.980519849,38148870.35296688
298,Chile,2013,17393130,69852,20781,344.16262140000003,71.06913498499999,38293391.68942171
299,Chile,2014,17612977,821,21090,330.0549588,77.859884866,34832638.03211258
300,China,1990,1046822325,88362675,2460,7620.2687515,333.715770532,845661209.2884352
301,China,1991,1066264589,84515411,2550,8029.2140266999995,328.32642765599996,922040974.9388641
302,China,1992,1084530169,80439831,2731,8456.5204196,344.56155403,1022179521.1756698
303,China,1993,1102210921,76229079,2997,9074.2166897,400.471804769,1137979855.9408178
304,China,1994,1119865705,71969295,3135,9611.6027289,442.83633522100007,1260569775.9703414
305,China,1995,1137171256,67683744,3302,9849.589335899998,511.09779373699996,1340875483.0310462
306,China,1996,1154129311,63420689,3494,10403.360548199998,498.96299836799994,1578648725.9747787
307,China,1997,1170841134,59233866,3540,10441.1214927,523.449946831,1560148050.9868252
308,China,1998,1186788034,55146966,3554,10448.366047,530.893567209,1534621151.2185605
309,China,1999,1201538613,51196387,3765,10840.1772608,525.2387825879999,1609664420.7267728
310,China,2000,1215219132,47425868,4071,11163.555114,593.576049989,1709429611.2814968
311,China,2001,1228050103,43799897,4400,11679.1179978,738.774189293,1755060178.175817
312,China,2002,1240146018,40253982,4793,12766.1858542,766.845720387,1990471772.8948095
313,China,2003,1251677867,36722133,5122,15010.570403,755.99202553,2393486746.15266
314,China,2004,1262937141,33137859,5595,17508.192945,940.5941520779999,2578050749.1880226
315,China,2005,1274288426,29431574,6338,19902.7693301,1064.129106913,2898579363.121477
316,China,2006,1285675500,25344500,6937,21818.224607,1175.594258214,3289509212.7166653
317,China,2007,1296781767,21103233,7482,23682.672062000005,1317.68498108,3522468655.275051
318,China,2008,1308095701,16559299,7741,24189.529511499997,1750.2052628400002,3699547518.14683
319,China,2009,1319486954,11773046,8394,25351.2292057,1748.363999846,3907802109.3559647
320,China,2010,1333691885,4013115,9475,26920.8896936,2056.8588686919998,4383580213.207191
321,China,2011,1340752549,3377451,10221,29215.166514100005,2075.507894843,4918562421.726717
322,China,2012,1349565574,1129426,10654,29945.456483999995,2612.767013099,5060379388.066547
323,China,2013,1357150822,229178,11088,30928.9498421,2885.44365381,5207487322.354865
324,China,2014,1364249391,20609,11708,31234.7055855,3360.9433657299996,5131433823.238159
325,Colombia,1990,30810137,3461428,6760,169.58894779000002,73.07855789199999,15279736.616524514
326,Colombia,1991,31690460,3226306,6620,178.49609802000003,73.671263157,15236829.79572267
327,Colombia,1992,32412876,3145806,6875,205.20174605,59.527852632,16702723.116545357
328,Colombia,1993,33134261,3060907,7170,216.64079186,74.329978951,16924620.729914982
329,Colombia,1994,33850900,2972637,7401,226.55261872,85.532610523,15740719.875418652
330,Colombia,1995,34147083,3294894,7597,231.56938767,85.43789473800001,14964583.477256877
331,Colombia,1996,35258054,2790984,7464,230.60969281,94.167432058,13081750.240655296
