,country,ppl_acc,ppl_no_acc,e_non_ebt,e_ebt,e_co2_em
0,Algeria,25464440,447927,314.57453580000004,0.35526315799999997,34633483.628106095
1,Algeria,26123557,430772,311.2286861,0.7710526320000001,34670897.82206489
2,Algeria,26768936,412158,319.63844559999995,0.5236842110000001,34982806.83037804
3,Algeria,27393494,392765,296.9511667,0.928947368,36547369.32502616
4,Algeria,27988776,373477,301.43024579999997,0.436842105,39365559.572656095
5,Algeria,28548981,355317,312.57413280000003,0.507894737,44400461.17597696
6,Algeria,29072010,339405,309.52553972,0.35526315799999997,45359675.76048448
7,Algeria,29559879,326960,297.63797944,0.19736842100000002,43066995.60288718
8,Algeria,30016493,319239,307.7132381,0.565789474,51484271.51140395
9,Algeria,30448075,317538,310.83390583,0.534210526,44095711.78084132
10,Algeria,30860958,322702,299.78596719999996,0.142105263,41481591.4117573
11,Algeria,31258547,333606,310.6102589,0.181578947,40148230.73895695
12,Algeria,31646472,348574,321.7841547,0.15,42360912.39550614
13,Algeria,32037605,365909,336.1535856,0.697368421,41146293.09572608
14,Algeria,32447231,383865,349.0545078,0.660526316,38015780.13670523
15,Algeria,32887859,400578,364.6814799,1.4613157890000001,44802598.60616263
16,Algeria,33363938,413977,378.6008808,0.572631579,42485888.24204594
17,Algeria,33878234,421842,399.000721,0.594736842,43372764.758841485
18,Algeria,34616690,244025,422.76168140000004,0.744736842,43649862.55010209
19,Algeria,35049986,415774,447.90423439999995,0.9,46668931.02534163
20,Algeria,35714915,402722,436.92640500000005,0.4792105259999999,44680038.23864532
21,Algeria,36435640,383918,463.3955281,1.042417763,46568752.95617978
22,Algeria,37101781,464066,506.5319778,1.094007931,51072657.83659341
23,Algeria,38006928,331634,536.62905,0.33578947400000003,50889879.01384779
24,Algeria,38813840,299473,584.9251728,0.668421053,55591317.01853332
25,Argentina,29666505,3063234,462.18408159,47.39451759,38617705.884497635
26,Argentina,30247517,2946401,472.62549808,42.891920006999996,42617865.37051789
27,Argentina,30830144,2825007,502.11146673999997,52.318200001,42821997.46388883
28,Argentina,31411142,2699775,509.50922662000005,62.270824079,37311337.41594841
29,Argentina,31986463,2571652,507.81358919,73.92652083200001,34479251.70835388
30,Argentina,32553037,2441777,530.389458514,75.19398333699999,37194913.0437695
31,Argentina,33108269,2311413,580.005688644,69.226835028,40731807.62567368
32,Argentina,33651922,2182047,556.365275917,88.132062231,39416481.623229675
33,Argentina,34186247,2055343,581.8587704619999,86.6269133758,40614163.00621153
34,Argentina,34715052,1933016,582.853024241,71.61929696809999,46698188.74444687
35,Argentina,35241342,1816110,588.7153020029999,91.4311010858,45774161.5926777
36,Argentina,35789437,1682072,560.1945141799999,112.00524340600002,40349174.63257352
37,Argentina,36297072,1592298,529.152222292,111.55460825199998,37434331.20020863
38,Argentina,36828418,1480961,582.9388168329999,105.716262264,41504863.7161001
39,Argentina,37361836,1366860,630.99464382,95.72549967500001,50154741.81897784
40,Argentina,37897920,1247568,669.21150155,106.56832755299999,51312835.58375792
41,Argentina,38438274,1120616,696.707391327,119.10826398600001,55352572.1482363
42,Argentina,38986722,983502,749.3307291799999,103.627396302,58919494.32114522
43,Argentina,39548140,834249,765.8163667700001,102.459555686,64784525.762997665
44,Argentina,40131670,667737,740.3319009879999,111.97016781699999,64727813.43573963
45,Argentina,40737447,486442,785.57580096,112.05708505400001,66993054.26393643
46,Argentina,41330357,326522,805.41177962,110.15634314699999,70185283.90192561
47,Argentina,41921790,174949,837.7660920999999,104.494359409,73549988.72019213
48,Argentina,42470639,69286,867.7993282499999,114.80468163399999,70476859.72069024
49,Argentina,42963997,17518,863.13529742,115.26700065899999,77093323.41755041
50,Australia,17065100,0,1014.0480755000001,40.839473680999994,153142518.43464646
51,Australia,17284000,0,1004.9115066999999,43.10118420799999,155796723.6484787
52,Australia,17495000,0,1014.8823389,43.746315790000004,158808764.89884126
53,Australia,17667000,0,1043.8680786,44.930526316,160401694.7664621
54,Australia,17855000,0,1087.972699,44.393157895,162449114.21684223
55,Australia,18072000,0,1119.143895,43.380657899,169235666.6029422
56,Australia,18311000,0,1147.2388407,44.598947368,175228050.33117807
57,Australia,18517000,0,1177.2980259,44.704342108,180091183.70907775
58,Australia,18711000,0,1206.0098478,44.55947368400001,196810378.99941453
59,Australia,18926000,0,1259.2572335,46.048947367000004,203198872.35385355
60,Australia,19153000,0,1264.7923959,46.149342108999996,206098980.33561677
61,Australia,19413000,0,1277.9521019,45.426710529,214309682.1326493
62,Australia,19651400,0,1296.0436134000001,47.246447371,227095481.2493014
63,Australia,19895400,0,1314.6813261999998,49.13052632,225035474.86996412
64,Australia,20127400,0,1358.4453818,50.973289469,234981502.0130068
65,Australia,20394800,0,1351.2002499999999,54.525789483000004,240033927.78811347
66,Australia,20697900,0,1434.361778,55.624210529,245484706.22684225
67,Australia,20827600,0,1457.0856842999997,53.394210531,250997466.00055912
68,Australia,21249200,0,1488.0439113,50.286578947,251370037.17464128
69,Australia,21691700,0,1474.7999115000002,53.044321126999996,258761331.25626415
70,Australia,22031750,0,1475.8129681,58.28999547,255940781.71916154
71,Australia,22340024,0,1505.0594925,80.748675183,248819295.03051588
72,Australia,22742475,0,1485.8189388,79.783815793,247964770.3732426
73,Australia,23145901,0,1479.9103972999999,93.63697368,236422746.03167745
74,Australia,23504138,0,1512.275803,86.335163159,229617300.2618737
75,Austria,7677850,0,238.85219251,85.924960524,22025859.200469647
76,Austria,7754891,0,255.18791013,85.971663154,22609748.793451335
77,Austria,7840709,0,239.27410635,95.20411579,19024114.689928707
