,country,ppl_acc,ppl_no_acc,e_non_ebt,e_ebt,e_co2_em
78,Austria,7905633,0,239.81624023,100.17807105199999,19216769.146871746
79,Austria,7936118,0,241.03588722,97.155407892,20832145.800955907
80,Austria,7948278,0,252.07947910999997,102.43800789199999,22292685.18093195
81,Austria,7959017,0,261.82619465,94.240934212,22704049.428589445
82,Austria,7968041,0,263.57186015999997,99.57543947,23437520.487504527
83,Austria,7976789,0,265.95621258999995,102.77134210900002,22135481.489422433
84,Austria,7992324,0,264.906215,111.44482270700001,21322291.09156228
85,Austria,8011566,0,263.07868019,114.29981541000001,20991274.670700014
86,Austria,8042293,0,281.29148874000003,111.31656222100001,22772887.60145524
87,Austria,8081957,0,283.85740358,110.419596858,23475661.13514494
88,Austria,8121423,0,307.90743555999995,92.915560632,25828916.156237185
89,Austria,8171966,0,303.23055233,104.64213947300001,26172297.72977548
90,Austria,8227829,0,308.01907205,107.591020548,27179494.80231514
91,Austria,8268641,0,304.99673816000006,107.023071543,26085600.405868012
92,Austria,8295487,0,289.57032197,113.624955464,25497820.42330056
93,Austria,8321496,0,294.60658082,117.56098027499999,25238077.176923998
94,Austria,8343323,0,275.24229352,124.15063156800001,21469955.869835965
95,Austria,8363404,0,295.17333124999993,118.36730325600001,25571793.74871675
96,Austria,8391643,0,279.40400776,107.542478534,25555786.43366288
97,Austria,8429991,0,271.85167076000005,134.767508563,23676195.520670988
98,Austria,8479823,0,270.33054026,132.657933026,22804709.69329458
99,Austria,8546356,0,256.26050302,131.519920022,20931488.29198331
100,Azerbaijan,6863350,295650,255.4000016,4.363157895,25707020.067891907
101,Azerbaijan,6992065,278935,244.91119339,4.629736842,26252530.738779765
102,Azerbaijan,7120435,261565,209.04211218,4.598157895,30458355.70197682
103,Azerbaijan,7251161,243839,178.67002453,6.384210526,28980201.498690803
104,Azerbaijan,7371404,225596,165.32568405,4.815789474,21294781.76503045
105,Azerbaijan,7477896,207104,155.92067369,4.094736842,15883514.102830932
106,Azerbaijan,7574164,188836,127.10332844999999,4.044736842,17087059.67650784
107,Azerbaijan,7666952,171298,121.00419701999999,4.505263158,16207125.641826203
108,Azerbaijan,7756925,156075,120.79389171,5.134210526,19155842.255938336
109,Azerbaijan,7743268,239483,121.55531492,3.963157895,17645665.028628554
110,Azerbaijan,7960727,87873,127.00981558,4.036842105,17628134.768171567
111,Azerbaijan,7996977,114223,122.95950814,3.4236842110000003,16876545.491315577
112,Azerbaijan,8171950,0,119.41148716999999,5.315789474,16244337.751388578
113,Azerbaijan,8143675,90425,128.43369921000001,6.5,17922466.75720413
114,Azerbaijan,8227879,78621,145.81171848999998,7.25,18357134.172938377
115,Azerbaijan,8325636,66214,158.06811999,7.919473684,19465609.700028952
116,Azerbaijan,8442127,42423,156.76603358,6.6263157889999995,22568249.009792782
117,Azerbaijan,8543726,37574,141.62028284299998,6.221052632,16581441.105885424
118,Azerbaijan,8740773,22627,143.44444511,5.8736842110000005,17183693.61032332
119,Azerbaijan,8936930,10313,125.87451003000001,6.080263158,15005875.877567992
120,Azerbaijan,9051224,3108,121.14970567,9.070526315,13018651.934754865
121,Azerbaijan,9163909,9173,137.840195193,7.0415789470000005,14715226.91705908
122,Azerbaijan,9295757,27,144.46766353,4.792105263,17177130.670363277
123,Azerbaijan,9416801,0,149.369868583,4.099210526,16612036.11412255
124,Azerbaijan,9535079,0,152.86011935,3.662894737,17279412.098133624
125,Bangladesh,9073155,97115487,71.24242474,2.326315789,6035931.084484093
126,Bangladesh,15537150,93190282,68.77665232,2.205263158,6804816.0247857
127,Bangladesh,14952956,96268982,75.35678954000001,2.094736842,7843756.737259893
128,Bangladesh,18067151,95627988,83.63790525,1.6,8037353.927579692
129,Bangladesh,20680444,95501823,88.18550458,2.228947368,8571689.160072498
130,Bangladesh,24646762,94060109,106.00862549,0.9789473679999999,9285419.80738344
131,Bangladesh,28112485,93157160,110.01724944,1.944736842,9654564.773107907
132,Bangladesh,27743439,96111201,115.76473831999999,1.8921052630000001,9545218.193161493
133,Bangladesh,35368807,91079158,123.00138575999999,2.276315789,9844270.21937295
134,Bangladesh,39141242,89888449,124.52219582000001,2.192105263,11192342.450151332
135,Bangladesh,42105998,89475245,133.90604507,1.971052632,11834721.706409736
136,Bangladesh,46935905,87171255,152.66776570000002,2.613157895,13785758.760465188
137,Bangladesh,50964512,85636155,158.32492647,1.97131579,14404501.346039016
138,Bangladesh,55069818,83949183,167.94384984,1.9734210529999998,14655632.258234987
139,Bangladesh,57370841,83936648,173.80068328000002,1.9760526319999998,17049707.383536913
140,Bangladesh,63439576,79991525,184.84833423,1.98,17990228.84659418
141,Bangladesh,73447333,71920671,196.23809459999998,1.989473684,20763751.067002404
142,Bangladesh,68419724,78719467,205.11357275999995,1.998947369,21214403.36653317
143,Bangladesh,76262645,72543169,216.49462888,2.547631579,23367788.677323855
144,Bangladesh,80693155,69761553,238.80289542,1.179473685,25415894.364619594
145,Bangladesh,84077594,68071508,249.10324016000004,2.053684211,28351751.868255697
146,Bangladesh,91731502,62180414,265.24474252,2.4697368429999997,29226426.558749486
147,Bangladesh,94803851,60923202,288.89332396,2.307894737,32320406.943304583
148,Bangladesh,96906345,60664947,294.69347568,2.284417706,35284636.646107934
149,Bangladesh,99468894,59936385,312.48019354,1.960930101,37566563.514770575
150,Belarus,10189000,0,444.51322265,0.052631579000000005,64888572.877719924
151,Belarus,10194000,0,439.7149207399999,0.047368420999999994,59236697.75131011
152,Belarus,10216000,0,416.02052411999995,0.044736842,56659883.27524805
153,Belarus,10239000,0,333.16975365,0.05,47650917.95778195
154,Belarus,10227000,0,277.62793853,0.05,42519741.0171436
155,Belarus,10194000,0,251.88926232999998,0.052631579000000005,37339188.3607134
156,Belarus,10160000,0,258.28600415,0.042105263,37235680.51810457
157,Belarus,10117000,0,260.85778432,0.055263158,40780013.767142095
158,Belarus,10069000,0,255.2480544,0.073684211,37962324.28771937
159,Belarus,10026738,0,248.47772326,0.05,36989485.355740726
160,Belarus,9979610,0,255.32373697999998,0.071052632,36503753.53372852
161,Belarus,9928549,0,248.88361351599997,0.078947368,37473205.0276012
162,Belarus,9865548,0,256.297016601,0.07631578900000001,37213129.16405348
163,Belarus,9796749,0,255.154912691,0.073684211,37800617.96960852
164,Belarus,9730146,0,287.385657409,0.08950026600000001,40961505.70396747
165,Belarus,9663915,0,286.351585,0.09736842099999998,40663164.295212284
166,Belarus,9604924,0,304.168303956,0.1,41639272.43044484
167,Belarus,9560953,0,296.991326604,0.131578947,40170718.453306794
168,Belarus,9527985,0,300.448865493,0.192105263,40670159.271445416
169,Belarus,9506765,0,284.765892676,0.278947369,38142006.16409189
170,Belarus,9490583,0,302.339529075,0.342105264,39676616.63901355
171,Belarus,9473172,0,300.596355134,0.371052632,36794774.96449297
172,Belarus,9464495,0,324.75436216,0.45526315799999995,36465865.55822317
173,Belarus,9465997,0,286.19673859700004,0.601052633,36160897.51353734
174,Belarus,9474511,0,295.935680456,0.555263159,36459984.65162861
175,Belgium,9967379,0,619.5183893999999,1.460526316,35901516.06577511
176,Belgium,10004486,0,641.1958282999999,1.410526316,35820391.76817235
177,Belgium,10045158,0,638.5121627,1.623684211,35232933.498982154
178,Belgium,10084475,0,628.7552102,1.334210527,35435769.57867493
179,Belgium,10115603,0,664.0666219,1.5789473689999998,37341954.47880209
180,Belgium,10136811,0,669.6678747999999,1.757894737,37464587.67215564
181,Belgium,10156637,0,712.44772558,1.476315789,36686332.20647542
182,Belgium,10181245,0,718.4285907000001,1.547368422,34296197.19391568
183,Belgium,10203008,0,732.7490302,1.997368421,37057780.4566172
184,Belgium,10226419,0,725.9768697500001,2.236842105,33070466.67647805
185,Belgium,10251250,0,742.2238496300001,2.747368421,34716958.54061347
186,Belgium,10286570,0,737.15429982,2.8289473689999998,32208767.593268834
187,Belgium,10332785,0,734.65827463,2.994736842,34651708.77548527
188,Belgium,10376133,0,763.4377412399999,3.136842105,34798983.28703917
189,Belgium,10421137,0,766.07402009,3.939473684,34775739.40981285
190,Belgium,10478617,0,759.3007442400001,5.542105263,35168859.00194236
191,Belgium,10547958,0,760.4512463799999,7.768421053,35126005.011907525
192,Belgium,10625700,0,765.4104013900001,9.173684211,35443354.58698538
193,Belgium,10709973,0,775.9187916799999,11.626315789,32234654.55875673
194,Belgium,10796493,0,722.91927587,14.313157892,28156736.420993064
195,Belgium,10895586,0,768.26906654,17.089473683,31244492.360990975
196,Belgium,11047744,0,710.7937376500001,22.044736839000002,29015780.61079049
197,Belgium,11128246,0,678.46790037,27.521052627000003,28044011.403281737
198,Belgium,11182817,0,693.06183346,30.717421049000002,25907479.537611946
199,Belgium,11209057,0,644.31702739,32.143449998,24914259.52005221
200,Brazil,130645962,18706183,903.627621805,554.12384873,31445271.95718776
201,Brazil,136529107,15447470,929.7592673620001,583.6358225199999,31827909.6757792
202,Brazil,137259003,17305275,983.917864278,600.71673874,33218930.634921283
203,Brazil,141419299,15713383,1023.7313442249999,631.7077290699999,33861737.15784048
204,Brazil,146112447,13592676,1087.503058132,652.87690432,33974339.321780995
205,Brazil,148872407,13424205,1144.267308398,682.89142231,35242042.89644843
206,Brazil,153150197,11763109,1212.349371365,717.167656958,38620694.45909842
207,Brazil,156410345,11134819,1286.346277274,753.565660516,42913902.68442261
208,Brazil,160290213,9880427,1327.280706353,786.787455285,44221099.09208186
209,Brazil,163711772,9047471,1359.1346465699999,793.100006028,51292406.86142439
210,Brazil,165588168,9699419,1365.6212602199998,821.7351657689999,55492555.08584588
211,Brazil,170670022,7080648,1424.0472072900002,728.687649995,60910834.66490592
212,Brazil,174121359,6029662,1427.5452875199999,779.945123586,54821393.92951483
213,Brazil,176971367,5510782,1414.96094838,835.7143763360001,54423814.67572446
214,Brazil,178762367,5976091,1489.66761926,877.192006676,59976860.32345693
215,Brazil,181484632,5432729,1515.45926603,924.0539821639999,63712916.82414052
216,Brazil,184465367,4547045,1548.7613998,957.3983842509999,63264923.66520239
217,Brazil,187445617,3581020,1632.75601102,1033.382663037,62193341.55821327
218,Brazil,190135724,2843305,1763.3329581499997,1027.008119695,74824820.70715222
219,Brazil,192668214,2227782,1682.91376672,1091.750824217,63685824.7142335
220,Brazil,194598166,2198103,1910.22183435,1150.030555941,76714225.75699915
221,Brazil,197352886,1333802,1988.69297731,1219.137659228,69533029.584053
222,Brazil,199597275,963708,2072.6799948899998,1199.1808796169998,89083834.90813549
223,Brazil,201548701,859931,2247.90106425,1152.7474877569998,115904194.97726853
224,Brazil,203498891,714242,2344.88837331,1136.9732097610001,136686441.84775597
225,Bulgaria,8718289,0,315.42901098000004,4.942105263,50936430.64556535
226,Bulgaria,8632367,0,253.40522736999998,6.423684211,40781335.825361185
227,Bulgaria,8540164,0,238.59709957,5.428947367999999,39455003.012515016
228,Bulgaria,8472313,0,254.05617278000003,5.1105263160000005,40072824.87646749
229,Bulgaria,8443591,0,245.32347133,3.863157895,37466153.444890484
230,Bulgaria,8406067,0,261.17236241,6.089473684,38674368.267196976
231,Bulgaria,8362826,0,259.27945296,7.681578947,38958319.07535934
232,Bulgaria,8312068,0,245.09348692,7.247368421,32119359.990599826
233,Bulgaria,8256786,0,233.96820892000002,8.15,31106432.53278276
234,Bulgaria,8210624,0,204.50176066,7.244736842000001,28735199.239083577
235,Bulgaria,8170172,0,205.64755774999998,7.034210526,28431511.432280913
236,Bulgaria,8009142,0,217.57945804,4.571052632,32028854.8998876
237,Bulgaria,7837161,0,210.27276594,5.773684211,29031895.504932288
238,Bulgaria,7775327,0,215.19248807,7.971052632,31955410.640650358
239,Bulgaria,7716860,0,208.21213104999998,8.339473684000001,31164499.45373225
240,Bulgaria,7658972,0,222.91432551,11.426315785000002,31431881.82355338
241,Bulgaria,7601022,0,229.21248312,11.205263159,31737044.016879763
242,Bulgaria,7545338,0,225.72174081999998,7.686842105999999,35494660.16819078
243,Bulgaria,7492561,0,222.11714487999998,7.794736842,35844696.149402134
244,Bulgaria,7444443,0,192.26832099,9.784210527000003,31563802.107002947
245,Bulgaria,7395599,0,195.23406413,15.231578950000001,33476490.63716541
246,Bulgaria,7348328,0,213.80577362999998,10.355263158,38469231.83107933
247,Bulgaria,7305888,0,199.40525983999999,14.018421052999999,33663762.246485375
248,Bulgaria,7265115,0,179.53837717,18.22819211,29346886.980634328
249,Bulgaria,7223938,0,191.43069171000002,19.444189471,31170055.28803484
250,Canada,27791000,0,2106.8731569,788.524322165,152625208.5877047
251,Canada,28171682,0,2078.815658,819.1102924349999,152690995.4339457
252,Canada,28519597,0,2129.6751767,841.3176504210002,160476744.3931842
253,Canada,28833410,0,2174.7184709000003,860.768291111,151906081.34087732
254,Canada,29111906,0,2269.3114723999997,878.0253511310001,156421027.68873537
255,Canada,29354000,0,2318.1214148999998,898.053795441,162663554.89410993
256,Canada,29671900,0,2351.6570781,953.1275902110001,163916064.3084677
257,Canada,29987200,0,2393.7700008,939.2547055720001,176994607.90077195
258,Canada,30247900,0,2395.6973989,894.5507479820001,193553243.61658615
259,Canada,30499200,0,2462.7339889,931.8926161859999,197024573.52737963
260,Canada,30769700,0,2530.7665880000004,963.0461608279999,209659144.22615853
261,Canada,31081900,0,2519.1293308000004,898.79409853,215676056.98716652
262,Canada,31362000,0,2583.5698884000003,946.7065271090001,214890762.6901346
263,Canada,31676000,0,2643.8187607,911.2353899330001,223582720.58740777
264,Canada,31995000,0,2684.7370248,918.8477633710002,213747848.8991166
265,Canada,32312000,0,2666.2327378,980.7381024940001,217621127.31784883
266,Canada,32570505,0,2651.2115053,958.672619334,214863505.58688605
267,Canada,32887928,0,2746.5520335,998.9954468870001,230194095.1987887
268,Canada,33245773,0,2715.1718197,1024.346840312,227815203.2093732
269,Canada,33628571,0,2534.4674559,1011.3501303390001,213768316.6495342
270,Canada,34005274,0,2652.9502113,975.192618798,221465587.88766614
271,Canada,34342780,0,2761.4403803000005,1043.938429396,217694035.53182936
272,Canada,34750545,0,2715.0456337,1061.505920753,221566744.7986035
273,Canada,35152370,0,2808.2634816,1111.276975806,223864182.5069243
274,Canada,35535348,0,2879.7539449,1095.541282373,219985512.4921194
275,Chile,12216850,1025282,126.16680661,26.064284206,11877819.677867299
276,Chile,12683659,773585,132.82466811,37.285931583,9131563.632746171
277,Chile,12927337,743696,139.12952006,48.639868425,7783920.930428666
278,Chile,13181219,701449,148.73029782999998,49.914002628,7900750.021100884
279,Chile,13427339,664050,159.5541194,49.398610530000006,10199649.902656687
280,Chile,13670223,626390,171.7881751,53.401944732,11176156.692726374
281,Chile,13862432,635394,190.40227557999998,48.977547371,15443183.838494547
282,Chile,14142451,552384,219.4800069,54.437231575000006,17683051.981556926
283,Chile,14477021,410735,230.64338809999998,44.995407898,21121216.935898796
284,Chile,14592968,483984,248.33948569999998,39.544736844,24504124.84435474
285,Chile,14948141,314613,249.8732476,53.831578943,19785674.56210641
286,Chile,15020714,424255,244.2606244,61.500000001000004,16496373.716088781
287,Chile,15227290,396345,251.07867499999998,65.723684208,18102147.123241283
288,Chile,15607155,192387,251.5071555,63.960526318999996,19401450.1865993
289,Chile,15633615,340163,271.61600235000003,60.540364057000005,23107472.10753504
290,Chile,15838460,308604,273.32571436,72.032894739,23317153.857723147
291,Chile,16216669,103123,291.21990992,78.03434232699999,23974975.41984078
292,Chile,16253605,238082,311.99810488,65.90015554600001,29556528.266992535
293,Chile,16464943,196999,301.55117987999995,72.633599943,30708324.3606603
294,Chile,16761058,68384,292.25993242999994,74.63535931400001,27686545.95469505
295,Chile,16889464,103890,302.5497659,66.299800322,28556873.006987303
296,Chile,17082718,70639,335.9983427,65.265678919,33670390.10660946
297,Chile,17285205,24541,341.7345966,68.980519849,38148870.35296688
298,Chile,17393130,69852,344.16262140000003,71.06913498499999,38293391.68942171
299,Chile,17612977,821,330.0549588,77.859884866,34832638.03211258
300,China,1046822325,88362675,7620.2687515,333.715770532,845661209.2884352
301,China,1066264589,84515411,8029.2140266999995,328.32642765599996,922040974.9388641
302,China,1084530169,80439831,8456.5204196,344.56155403,1022179521.1756698
303,China,1102210921,76229079,9074.2166897,400.471804769,1137979855.9408178
304,China,1119865705,71969295,9611.6027289,442.83633522100007,1260569775.9703414
305,China,1137171256,67683744,9849.589335899998,511.09779373699996,1340875483.0310462
306,China,1154129311,63420689,10403.360548199998,498.96299836799994,1578648725.9747787
307,China,1170841134,59233866,10441.1214927,523.449946831,1560148050.9868252
308,China,1186788034,55146966,10448.366047,530.893567209,1534621151.2185605
309,China,1201538613,51196387,10840.1772608,525.2387825879999,1609664420.7267728
310,China,1215219132,47425868,11163.555114,593.576049989,1709429611.2814968
311,China,1228050103,43799897,11679.1179978,738.774189293,1755060178.175817
312,China,1240146018,40253982,12766.1858542,766.845720387,1990471772.8948095
313,China,1251677867,36722133,15010.570403,755.99202553,2393486746.15266
314,China,1262937141,33137859,17508.192945,940.5941520779999,2578050749.1880226
315,China,1274288426,29431574,19902.7693301,1064.129106913,2898579363.121477
316,China,1285675500,25344500,21818.224607,1175.594258214,3289509212.7166653
317,China,1296781767,21103233,23682.672062000005,1317.68498108,3522468655.275051
318,China,1308095701,16559299,24189.529511499997,1750.2052628400002,3699547518.14683
319,China,1319486954,11773046,25351.2292057,1748.363999846,3907802109.3559647
320,China,1333691885,4013115,26920.8896936,2056.8588686919998,4383580213.207191
321,China,1340752549,3377451,29215.166514100005,2075.507894843,4918562421.726717
322,China,1349565574,1129426,29945.456483999995,2612.767013099,5060379388.066547
323,China,1357150822,229178,30928.9498421,2885.44365381,5207487322.354865
324,China,1364249391,20609,31234.7055855,3360.9433657299996,5131433823.238159
325,Colombia,30810137,3461428,169.58894779000002,73.07855789199999,15279736.616524514
326,Colombia,31690460,3226306,178.49609802000003,73.671263157,15236829.79572267
327,Colombia,32412876,3145806,205.20174605,59.527852632,16702723.116545357
328,Colombia,33134261,3060907,216.64079186,74.329978951,16924620.729914982
329,Colombia,33850900,2972637,226.55261872,85.532610523,15740719.875418652
330,Colombia,34147083,3294894,231.56938767,85.43789473800001,14964583.477256877
331,Colombia,35258054,2790984,230.60969281,94.167432058,13081750.240655296
332,Colombia,35944900,2700511,250.88446875,84.10200000200001,15769633.875796499
333,Colombia,36621476,2612586,254.6552029,82.40443158000001,17879294.507089213
334,Colombia,37290181,2529098,221.12247082000002,89.888573689,13235789.974785415
335,Colombia,38464568,1939390,220.96617586,82.404086881,14269265.076755662
336,Colombia,38611273,2377636,214.32635593,84.556123024,14118809.987540908
337,Colombia,39266523,2305968,207.37894068000003,90.693919075,14029305.516408436
338,Colombia,39918375,2233776,212.59000057,96.520434212,14937125.063022131
339,Colombia,40565741,2158422,212.83986980999998,102.25526245200001,13026419.473994872
340,Colombia,41900494,1385140,211.66241779,104.691840174,14587498.507001624
341,Colombia,41848316,1987406,241.9622937,113.52789273299999,14340750.289522642
342,Colombia,42488331,1886241,239.53215247000003,117.89212891500001,14133561.582170334
343,Colombia,43467731,1433813,263.91649708,122.958290272,13392121.71820781
344,Colombia,43625525,1790656,259.47962257,110.25884511400001,21556701.53727459
345,Colombia,44443665,1474432,286.64642649,109.75267069300001,21660908.064300023
346,Colombia,44872257,1534389,284.29300331,131.176678417,15672183.756003834
347,Colombia,45490115,1391360,315.95250341,129.24374488,18410824.374868125
348,Colombia,46291691,1051290,331.40136702,120.43907525,23672230.57795709
349,Colombia,46736158,1055753,354.48641295999994,122.47662288300002,22447408.976802442
350,Croatia,4780000,0,,10.01315789,9102219.701545388
351,Croatia,4510000,0,,15.47631579,6604470.1370553095
352,Croatia,4470000,0,,11.460526313999999,7269387.742690227
353,Croatia,4640000,0,,12.02368421,7686285.140035081
354,Croatia,4650000,0,,14.318421054,6350350.848035872
355,Croatia,4669000,0,,14.968421055,7009728.523551029
356,Croatia,4494000,0,,20.718421049000003,7135918.793152318
357,Croatia,4572000,0,,15.407894738,7277141.460114682
358,Croatia,4501000,0,,15.860526315000001,8168839.888147816
359,Croatia,4554000,0,,19.286842108000002,7896373.835454613
360,Croatia,4426000,0,,16.984210529,7298047.912548459
361,Croatia,4440000,0,,18.89736842,7914190.230306713
362,Croatia,4440000,0,,15.39736842,8798188.844644925
363,Croatia,4440000,0,,14.36315789,9491262.150704337
364,Croatia,4439000,0,,20.086842104000002,8371360.255156138
365,Croatia,4442000,0,,18.578947364000005,8388276.559806248
366,Croatia,4440000,0,,17.492105258000002,8209522.557321711
367,Croatia,4436000,0,,12.478947366000002,9493499.030343976
368,Croatia,4434508,0,,15.373684206,8187994.111940835
369,Croatia,4429078,0,,19.7053064833,7512630.884800012
370,Croatia,4417781,0,,24.468464375299998,7023456.802197188
371,Croatia,4280622,0,,13.918464376300001,7324043.263890825
372,Croatia,4267558,0,,13.847368422999999,6613672.631861891
373,Croatia,4255689,0,,24.408668309000003,6102533.919423307
374,Croatia,4238389,0,,26.150000001,5671184.560292063
375,Cyprus,766614,0,19.27453583,0.0,2100714.219513224
376,Cyprus,783129,0,19.51215667,0.0,2115141.6439103936
377,Cyprus,800609,0,22.79668,0.0,2457930.289744925
378,Cyprus,818751,0,23.69017778,0.0,2619551.3180637048
379,Cyprus,837110,0,23.732360279999998,0.0,2763781.0840130113
380,Cyprus,855384,0,25.230673059999997,0.0,2508301.3474602764
381,Cyprus,873423,0,25.60481778,0.0,2636797.0249002627
382,Cyprus,891192,0,25.85162278,0.0,2776214.7395785796
383,Cyprus,908704,0,27.44660556,0.0,2996128.952364431
384,Cyprus,926050,0,28.88067889,0.0,3198690.50704011
385,Cyprus,943286,0,30.26110528,0.0,3328751.6709621544
386,Cyprus,960282,0,30.609652779999998,0.0,3203483.8001493914
387,Cyprus,976966,0,30.185936390000002,0.0,3393113.612175134
388,Cyprus,993563,0,32.08830056,0.0,3790887.0202136245
389,Cyprus,1010410,0,31.226188060000002,0.001986843,3730456.726158965
390,Cyprus,1027658,0,34.99014889,0.002423685,3946506.672907604
391,Cyprus,1045509,0,34.40757564,0.0039789479999999995,4086161.395883876
392,Cyprus,1063712,0,34.97799592,0.009181578999999999,4270562.39824338
393,Cyprus,1081563,0,35.8359087,0.040410526,4431004.418280363
394,Cyprus,1098076,0,34.93533703,0.08251579,4392481.629720001
395,Cyprus,1112607,0,33.867190640000004,0.19210526300000003,4185641.0025896546
